Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2018,12,14,00:00,UTC,-1,-1,-3.7,-1.5,-4.2
2018,12,15,00:00,UTC,-1,-1,-5.1,-4.1,-5.6
2018,12,16,00:00,UTC,3.1,-1,-3.5,-0.7,-5.7
2018,12,17,00:00,UTC,1.9,2,0.2,0.8,-0.8
2018,12,18,00:00,UTC,0.5,5,1.4,1.8,0.7
2018,12,19,00:00,UTC,0.4,3,0.8,2.1,0.2
2018,12,20,00:00,UTC,-1,3,-2.1,0.3,-3.2
2018,12,21,00:00,UTC,0.6,3,-5,-1.5,-7.6
2018,12,22,00:00,UTC,1.6,3,-8.1,-7.2,-9.8
2018,12,23,00:00,UTC,-1,6,-8.1,-7.1,-8.7
2018,12,24,00:00,UTC,0.3,5,-9.6,-8.6,-11.9
2018,12,25,00:00,UTC,0.6,5,0.7,2,-10.5
2018,12,26,00:00,UTC,-1,3,1.1,3.2,-0.9
2018,12,27,00:00,UTC,0.9,3,0.2,2.3,-1.3
2018,12,28,00:00,UTC,-1,2,-0.6,0.8,-1.3
2018,12,29,00:00,UTC,-1,2,0.7,3.2,-2
2018,12,30,00:00,UTC,-1,0,0.2,1.4,-0.7
2018,12,31,00:00,UTC,3.2,2,-0.5,0.7,-1.9
2019,1,1,00:00,UTC,1.5,-1,2.7,4.5,0.5
2019,1,2,00:00,UTC,0.2,-1,-2.9,2.2,-6.1
2019,1,3,00:00,UTC,1.8,-1,-9.1,-6.1,-11.1
2019,1,4,00:00,UTC,0.5,0,-1.2,1.2,-12.1
2019,1,5,00:00,UTC,-1,2,-4.7,-0.3,-5.4
2019,1,6,00:00,UTC,0.8,2,-3.5,0.5,-7.6
2019,1,7,00:00,UTC,3.5,-1,1.3,2.6,-0.2
2019,1,8,00:00,UTC,12.2,0,0.4,1.8,-0.9
2019,1,9,00:00,UTC,0.8,14,-1.9,0,-4.1
2019,1,10,00:00,UTC,0.5,13,-4.1,-3.1,-6.1
2019,1,11,00:00,UTC,-1,11,1.4,2.1,-3.8
2019,1,12,00:00,UTC,-1,8,-1.3,2,-3.6
2019,1,13,00:00,UTC,5.5,8,-2.2,1.1,-6.3
2019,1,14,00:00,UTC,1.1,11,-2,0.7,-4.8
2019,1,15,00:00,UTC,0.6,12,-6.1,-4.4,-9.6
2019,1,16,00:00,UTC,11.2,14,-5.3,-3.4,-8.7
2019,1,17,00:00,UTC,0.8,24,-4.5,-1.2,-7.5
2019,1,18,00:00,UTC,-1,23,-9.2,-6.1,-11.4
2019,1,19,00:00,UTC,2.2,22,-5.2,0.6,-13
2019,1,20,00:00,UTC,-1,23,-7.9,-0.4,-11.7
2019,1,21,00:00,UTC,-1,21,-15.1,-11.4,-17.3
2019,1,22,00:00,UTC,0.3,21,-13.8,-5.3,-20.3
2019,1,23,00:00,UTC,1.8,21,-1.7,0.1,-5.6
2019,1,24,00:00,UTC,-1,22,-7.8,-1.2,-10.7
2019,1,25,00:00,UTC,2.1,21,-3.6,-2.1,-10.1
2019,1,26,00:00,UTC,2.5,23,-8.2,-4.7,-9.9
2019,1,27,00:00,UTC,-1,29,-13.8,-9.8,-16
2019,1,28,00:00,UTC,12.3,27,-7.3,-5.1,-15.9
2019,1,29,00:00,UTC,8.6,36,-4.5,-3.8,-5.6
2019,1,30,00:00,UTC,1.2,42,-0.8,0.8,-4.7
2019,1,31,00:00,UTC,-1,40,-0.8,0.7,-3.4
2019,2,1,00:00,UTC,0.8,39,-3.6,-1.3,-5.8
2019,2,2,00:00,UTC,8.1,37,-2.6,-1.9,-4.4
2019,2,3,00:00,UTC,5.7,42,-0.6,2,-3.3
2019,2,4,00:00,UTC,1.6,39,-3.5,1.2,-5.8
2019,2,5,00:00,UTC,5.2,39,0,1.2,-5.7
2019,2,6,00:00,UTC,2.2,44,-3.7,-0.2,-7.8
2019,2,7,00:00,UTC,1.1,46,0.1,1.7,-6
2019,2,8,00:00,UTC,0.5,43,1.5,2.4,0.7
2019,2,9,00:00,UTC,5.9,34,2,2.7,1.6
2019,2,10,00:00,UTC,2.5,31,2.2,3.1,0.5
2019,2,11,00:00,UTC,7.3,28,1.3,2.8,0.4
2019,2,12,00:00,UTC,-1,27,-1.1,0.7,-2.3
2019,2,13,00:00,UTC,1.9,27,-0.1,1.1,-3.7
2019,2,14,00:00,UTC,-1,28,2.3,2.9,0.7
2019,2,15,00:00,UTC,-1,26,5,7.7,1.9
2019,2,16,00:00,UTC,-1,25,3,6.9,0.9
2019,2,17,00:00,UTC,-1,22,1.2,4,-0.9
2019,2,18,00:00,UTC,-1,22,0.7,2.5,-2.7
2019,2,19,00:00,UTC,3.7,19,2.1,2.2,1.6
2019,2,20,00:00,UTC,0.1,17,-0.6,2.8,-3.8
2019,2,21,00:00,UTC,-1,16,-6.4,-3.8,-8.3
2019,2,22,00:00,UTC,1.6,16,-6.2,-2.2,-10.8
2019,2,23,00:00,UTC,-1,16,1.8,5.2,-4.5
2019,2,24,00:00,UTC,-1,16,2.7,4.5,0.9
2019,2,25,00:00,UTC,0.9,14,5.2,7.8,4.2
2019,2,26,00:00,UTC,-1,13,2.1,4.8,1.1
2019,2,27,00:00,UTC,-1,12,3.5,5.7,-0.5
2019,2,28,00:00,UTC,0.5,11,2,5.1,-1.2
2019,3,1,00:00,UTC,-1,10,-4.9,-1.1,-7.6
2019,3,2,00:00,UTC,-1,10,0.5,3.1,-5.2
2019,3,3,00:00,UTC,-1,10,-4.9,1.5,-7.9
2019,3,4,00:00,UTC,3.8,9,-2.7,-1.3,-4.9
2019,3,5,00:00,UTC,-1,14,-4.6,-1.3,-7.4
2019,3,6,00:00,UTC,0.2,13,-6.9,-2.7,-14.3
2019,3,7,00:00,UTC,8.7,12,0.2,0.7,-2.8
2019,3,8,00:00,UTC,5.1,13,3,4.7,0.6
2019,3,9,00:00,UTC,3.7,9,0.4,3.3,-1.9
2019,3,10,00:00,UTC,-1,10,-0.8,2.1,-2.2
2019,3,11,00:00,UTC,0.1,10,-4.9,-2.2,-6.7
2019,3,12,00:00,UTC,-1,10,-4.8,-1.3,-8.6
2019,3,13,00:00,UTC,4.2,10,-3.3,-0.1,-9.1
2019,3,14,00:00,UTC,0.4,14,1.4,2.6,-1.1
2019,3,15,00:00,UTC,3.7,10,2.1,2.5,1.5
2019,3,16,00:00,UTC,1.7,8,1.8,3.1,1.1
2019,3,17,00:00,UTC,8.1,7,1.7,2.5,0.6
2019,3,18,00:00,UTC,1,5,3.3,4.1,1.7
2019,3,19,00:00,UTC,0.2,2,2.6,4.9,2
2019,3,20,00:00,UTC,0.7,-1,1.3,3.3,-0.4
2019,3,21,00:00,UTC,0.1,-1,2.9,5.3,0.9
2019,3,22,00:00,UTC,-1,-1,3.9,7.4,1.2
2019,3,23,00:00,UTC,0.5,-1,2.3,3.6,1.2
2019,3,24,00:00,UTC,-1,-1,4,6.8,1.5
2019,3,25,00:00,UTC,0.2,-1,1.5,5.3,-0.7
2019,3,26,00:00,UTC,-1,-1,0.3,3.5,-2.9
2019,3,27,00:00,UTC,-1,-1,0.2,3.1,-4.1
2019,3,28,00:00,UTC,-1,-1,3.6,7.4,-0.9
2019,3,29,00:00,UTC,-1,-1,6.1,11.5,2.6
2019,3,30,00:00,UTC,1.2,-1,5.3,10,2.8
2019,3,31,00:00,UTC,1,-1,3.3,5.6,2.3
2019,4,1,00:00,UTC,-1,-1,3.5,7.8,-0.1
2019,4,2,00:00,UTC,-1,-1,3.4,6,1
2019,4,3,00:00,UTC,-1,-1,6,10.8,2.1
2019,4,4,00:00,UTC,-1,-1,6.6,12.5,3.5
2019,4,5,00:00,UTC,-1,-1,5.8,11.6,-0.1
2019,4,6,00:00,UTC,-1,-1,6.6,10.9,2.1
2019,4,7,00:00,UTC,-1,-1,6.4,10.3,1
2019,4,8,00:00,UTC,3.4,-1,2.3,9.5,1.3
2019,4,9,00:00,UTC,2.1,-1,2.2,5.1,0.9
2019,4,10,00:00,UTC,-1,-1,-0.4,2.5,-1.2
2019,4,11,00:00,UTC,-1,-1,-0.3,4.3,-3.1
2019,4,12,00:00,UTC,-1,-1,1.5,5,-3.6
2019,4,13,00:00,UTC,-1,-1,4.5,6.4,2
2019,4,14,00:00,UTC,-1,-1,4.9,8.9,3.2
2019,4,15,00:00,UTC,-1,-1,4.7,9.1,-0.7
2019,4,16,00:00,UTC,-1,-1,7.1,13.1,1.1
2019,4,17,00:00,UTC,-1,-1,7,11.1,1.1
2019,4,18,00:00,UTC,-1,-1,9.2,15.8,3.9
2019,4,19,00:00,UTC,-1,-1,12,17.1,4.3
2019,4,20,00:00,UTC,-1,-1,9.4,13.8,5.4
2019,4,21,00:00,UTC,-1,-1,6.4,9.2,3.8
2019,4,22,00:00,UTC,-1,-1,9.8,14.9,4.5
2019,4,23,00:00,UTC,-1,-1,12.3,18.6,6.1
2019,4,24,00:00,UTC,-1,-1,11.9,16.8,4.8
2019,4,25,00:00,UTC,0.1,-1,13.7,17.5,8.4
2019,4,26,00:00,UTC,0.6,-1,12.2,15.3,10.1
2019,4,27,00:00,UTC,-1,-1,14.3,18.7,8.5
2019,4,28,00:00,UTC,-1,-1,6.1,13.9,4.5
2019,4,29,00:00,UTC,-1,-1,5.6,9.3,1.3
2019,4,30,00:00,UTC,-1,-1,6.7,10.1,3.1
2019,5,1,00:00,UTC,4.2,-1,8.3,14.4,3.4
2019,5,2,00:00,UTC,13.2,-1,4.4,7.9,2.7
2019,5,3,00:00,UTC,-1,-1,2,5.2,0.3
2019,5,4,00:00,UTC,6.1,-1,2.1,5.8,-0.4
2019,5,5,00:00,UTC,-1,-1,4.8,8.5,-0.2
2019,5,6,00:00,UTC,-1,-1,6.7,10,3.7
2019,5,7,00:00,UTC,-1,-1,7,9.5,5.2
2019,5,8,00:00,UTC,-1,-1,7.3,11.3,4.7
2019,5,9,00:00,UTC,-1,-1,9.4,13.2,3.8
2019,5,10,00:00,UTC,3.6,-1,8.4,11.6,7.7
2019,5,11,00:00,UTC,8.3,-1,9.5,12,7.4
2019,5,12,00:00,UTC,-1,-1,8.8,12.6,5.7
2019,5,13,00:00,UTC,-1,-1,8.6,12.3,4.9
2019,5,14,00:00,UTC,-1,-1,9,14,6.6
2019,5,15,00:00,UTC,-1,-1,10.1,13.6,5.1
2019,5,16,00:00,UTC,-1,-1,11.8,16,4.9
2019,5,17,00:00,UTC,-1,-1,13.8,18.2,6.7
2019,5,18,00:00,UTC,-1,-1,15.6,20.2,8.9
2019,5,19,00:00,UTC,-1,-1,17.1,21,12.2
2019,5,20,00:00,UTC,0.8,-1,17.3,20.5,13.9
2019,5,21,00:00,UTC,-1,-1,18.3,24.5,14.8
2019,5,22,00:00,UTC,0.2,-1,17.8,21.6,15.5
2019,5,23,00:00,UTC,0.5,-1,12.6,17.8,9.6
2019,5,24,00:00,UTC,1.8,-1,9.3,10.5,8.2
2019,5,25,00:00,UTC,0.9,-1,10.9,13.4,8.3
2019,5,26,00:00,UTC,14.8,-1,9.5,11.8,8.1
2019,5,27,00:00,UTC,0.4,-1,10.5,12.9,8.9
2019,5,28,00:00,UTC,3.9,-1,11.7,15.2,9
2019,5,29,00:00,UTC,-1,-1,12.4,16,10.8
2019,5,30,00:00,UTC,3.2,-1,12.5,16.4,6.1
2019,5,31,00:00,UTC,-1,-1,12.1,15.3,8.7
2019,6,1,00:00,UTC,2.3,-1,12.3,16.5,8.4
2019,6,2,00:00,UTC,-1,-1,13.4,17.8,10.1
2019,6,3,00:00,UTC,5.6,-1,13,16.7,7.1
2019,6,4,00:00,UTC,-1,-1,17.2,23.6,12.7
2019,6,5,00:00,UTC,-1,-1,18.7,23.1,12.7
2019,6,6,00:00,UTC,-1,-1,21.6,26.9,14.9
2019,6,7,00:00,UTC,-1,-1,21.9,26.8,18.2
2019,6,8,00:00,UTC,2.5,-1,22.1,26.5,17.3
2019,6,9,00:00,UTC,-1,-1,18.3,22.2,16.2
2019,6,10,00:00,UTC,-1,-1,16.4,19.5,13.7
2019,6,11,00:00,UTC,-1,-1,17,21.7,12.2
2019,6,12,00:00,UTC,-1,-1,15,18.7,12.6
2019,6,13,00:00,UTC,1.1,-1,14,16,12.2
2019,6,14,00:00,UTC,-1,-1,14.4,16.5,12.6
2019,6,15,00:00,UTC,-1,-1,16.9,21.6,13.5
2019,6,16,00:00,UTC,-1,-1,18.4,23.3,12.5
2019,6,17,00:00,UTC,-1,-1,18.5,22.4,13.6
2019,6,18,00:00,UTC,-1,-1,18.2,22.8,15
2019,6,19,00:00,UTC,-1,-1,18.8,22.6,14.1
2019,6,20,00:00,UTC,-1,-1,20,24.6,15
2019,6,21,00:00,UTC,-1,-1,20,24.5,17.2
2019,6,22,00:00,UTC,0.7,-1,17.3,20,14.2
2019,6,23,00:00,UTC,-1,-1,17.3,20.2,13.6
2019,6,24,00:00,UTC,-1,-1,19.5,23.8,13.9
2019,6,25,00:00,UTC,0.7,-1,17,20.8,11.6
2019,6,26,00:00,UTC,2,-1,15.1,19.5,13.5
2019,6,27,00:00,UTC,0.7,-1,15.8,20.1,13.6
2019,6,28,00:00,UTC,-1,-1,16.9,21.5,11.5
2019,6,29,00:00,UTC,-1,-1,15.7,21.3,10.9
2019,6,30,00:00,UTC,-1,-1,17.6,23.2,14.4
2019,7,1,00:00,UTC,0.1,-1,17.9,23.7,15.9
2019,7,2,00:00,UTC,22.5,-1,15.5,19.5,13.6
2019,7,3,00:00,UTC,-1,-1,15.2,20.6,11.9
2019,7,4,00:00,UTC,13.7,-1,13.9,17.7,10.2
2019,7,5,00:00,UTC,11.7,-1,12.9,16.5,11
2019,7,6,00:00,UTC,7.4,-1,13.3,19.1,10.2
2019,7,7,00:00,UTC,2.1,-1,14.6,18.4,10.2
2019,7,8,00:00,UTC,10.3,-1,15.2,19.9,13
2019,7,9,00:00,UTC,-1,-1,13,15.2,11.4
2019,7,10,00:00,UTC,-1,-1,16.8,21.4,12.2
2019,7,11,00:00,UTC,0.2,-1,13,19.5,11.6
2019,7,12,00:00,UTC,-1,-1,14.4,20,8.4
2019,7,13,00:00,UTC,-1,-1,16.5,21.6,13.2
2019,7,14,00:00,UTC,-1,-1,15.4,18.1,11.4
2019,7,15,00:00,UTC,0.5,-1,16.5,19.2,12.8
2019,7,16,00:00,UTC,3.5,-1,15.9,20,13.9
2019,7,17,00:00,UTC,-1,-1,17.8,22.9,13
2019,7,18,00:00,UTC,-1,-1,19.7,24.7,12.7
2019,7,19,00:00,UTC,-1,-1,19.8,25,14.7
2019,7,20,00:00,UTC,-1,-1,19.7,25.1,13.1
2019,7,21,00:00,UTC,-1,-1,20.5,25.1,14.2
2019,7,22,00:00,UTC,0.2,-1,20,22.5,17.9
2019,7,23,00:00,UTC,-1,-1,21.8,25.7,16.3
2019,7,24,00:00,UTC,-1,-1,23.3,28.7,16.4
2019,7,25,00:00,UTC,-1,-1,20.9,25.4,18.5
2019,7,26,00:00,UTC,-1,-1,22.2,25.6,17.4
2019,7,27,00:00,UTC,-1,-1,24.9,29.1,19.3
2019,7,28,00:00,UTC,-1,-1,25.3,33.2,20.2
2019,7,29,00:00,UTC,-1,-1,17.6,21.6,16.6
2019,7,30,00:00,UTC,-1,-1,14.5,18.5,11.5
2019,7,31,00:00,UTC,-1,-1,16,21.2,11.4
2019,8,1,00:00,UTC,-1,-1,15.1,19,11.7
2019,8,2,00:00,UTC,-1,-1,16.1,21.6,11.1
2019,8,3,00:00,UTC,-1,-1,13.8,18.3,9.8
2019,8,4,00:00,UTC,-1,-1,13.4,18.3,8.8
2019,8,5,00:00,UTC,-1,-1,16.6,23,9.4
2019,8,6,00:00,UTC,0.9,-1,16.9,20.3,12.6
2019,8,7,00:00,UTC,3,-1,17.1,19.9,15.1
2019,8,8,00:00,UTC,-1,-1,17.4,20.7,14.2
2019,8,9,00:00,UTC,-1,-1,17.4,21.8,14.3
2019,8,10,00:00,UTC,-1,-1,18.2,21.9,12.4
2019,8,11,00:00,UTC,4.7,-1,18,19.7,16.3
2019,8,12,00:00,UTC,0.1,-1,18.5,21.1,17.3
2019,8,13,00:00,UTC,0.5,-1,18,20.3,16.4
2019,8,14,00:00,UTC,0.1,-1,17.4,19.8,16.1
2019,8,15,00:00,UTC,1.2,-1,17.3,20.6,14.5
2019,8,16,00:00,UTC,-1,-1,16.8,20.2,12.7
2019,8,17,00:00,UTC,-1,-1,18.6,22.2,16.8
2019,8,18,00:00,UTC,3.7,-1,18.8,21.4,16.7
2019,8,19,00:00,UTC,2,-1,17.7,19.7,15.9
2019,8,20,00:00,UTC,-1,-1,17.8,20.5,15.1
2019,8,21,00:00,UTC,-1,-1,17.3,19.4,16.3
2019,8,22,00:00,UTC,50.2,-1,17.2,21.1,12.9
2019,8,23,00:00,UTC,12.3,-1,16.1,19.4,13
2019,8,24,00:00,UTC,-1,-1,17.3,21.4,14.4
2019,8,25,00:00,UTC,-1,-1,16.5,20.2,10.3
2019,8,26,00:00,UTC,-1,-1,19,22.6,15.3
2019,8,27,00:00,UTC,-1,-1,17.9,21.2,14.1
2019,8,28,00:00,UTC,-1,-1,18.8,23.1,14
2019,8,29,00:00,UTC,3.5,-1,19.8,22.2,16.8
2019,8,30,00:00,UTC,-1,-1,18.8,21.1,17.7
2019,8,31,00:00,UTC,-1,-1,17.8,20.5,14.1
2019,9,1,00:00,UTC,-1,-1,18.3,21.6,15.3
2019,9,2,00:00,UTC,8.2,-1,17.9,22.5,14.3
2019,9,3,00:00,UTC,-1,-1,15.4,18.8,12.9
2019,9,4,00:00,UTC,-1,-1,16.4,20.2,11.3
2019,9,5,00:00,UTC,4.9,-1,16.5,19.7,12.7
2019,9,6,00:00,UTC,0.9,-1,15.1,17.2,13.5
2019,9,7,00:00,UTC,3.6,-1,14.1,18.3,9.8
2019,9,8,00:00,UTC,0.9,-1,15.7,17,12.5
2019,9,9,00:00,UTC,3.5,-1,16.8,18.7,14.8
2019,9,10,00:00,UTC,-1,-1,18.9,21.1,15.7
2019,9,11,00:00,UTC,4.3,-1,16.6,20.4,15
2019,9,12,00:00,UTC,0.4,-1,15.8,17.2,14.9
2019,9,13,00:00,UTC,8.5,-1,13.1,16.5,11.1
2019,9,14,00:00,UTC,8.9,-1,11,14.6,9
2019,9,15,00:00,UTC,13.3,-1,11,13.5,6.6
2019,9,16,00:00,UTC,1.6,-1,10.6,14.1,9
2019,9,17,00:00,UTC,0.1,-1,8.9,11.9,5.8
2019,9,18,00:00,UTC,0.1,-1,8.7,13.5,6.9
2019,9,19,00:00,UTC,-1,-1,6.6,11.9,2
2019,9,20,00:00,UTC,1.9,-1,7.1,11.5,1.6
2019,9,21,00:00,UTC,0.7,-1,8.9,10.9,6.1
2019,9,22,00:00,UTC,-1,-1,6.7,10.6,3.8
2019,9,23,00:00,UTC,-1,-1,5.7,10.6,1.4
2019,9,24,00:00,UTC,3.3,-1,7.2,10,3.6
2019,9,25,00:00,UTC,0.8,-1,7.4,8.6,7.1
2019,9,26,00:00,UTC,-1,-1,8.4,13.1,3.7
2019,9,27,00:00,UTC,-1,-1,9,13.7,4.2
2019,9,28,00:00,UTC,1.7,-1,11.8,14.2,9.6
2019,9,29,00:00,UTC,0.9,-1,12.5,14.4,10.9
2019,9,30,00:00,UTC,8,-1,12.7,14.5,11.7
2019,10,1,00:00,UTC,2.1,-1,8.2,12.9,5.2
2019,10,2,00:00,UTC,0.5,-1,6.9,9.9,4.1
2019,10,3,00:00,UTC,2.5,-1,4.5,6.6,3.4
2019,10,4,00:00,UTC,0.9,-1,2.4,5.3,1.5
2019,10,5,00:00,UTC,-1,-1,2.5,5.8,-0.2
2019,10,6,00:00,UTC,-1,-1,4,6.9,0.3
2019,10,7,00:00,UTC,0.1,-1,4.5,7.9,2.7
2019,10,8,00:00,UTC,-1,-1,5,7.2,2.4
2019,10,9,00:00,UTC,1.1,-1,4.8,7.6,1.9
2019,10,10,00:00,UTC,2.4,-1,7.1,10.2,4.8
2019,10,11,00:00,UTC,33.8,-1,10.4,12.3,5.7
2019,10,12,00:00,UTC,0.1,-1,9.8,11.5,8.2
2019,10,13,00:00,UTC,1.4,-1,8.9,12.2,6.4
2019,10,14,00:00,UTC,9.3,-1,5,8.5,2.4
2019,10,15,00:00,UTC,0.1,-1,4.4,7.8,-1.1
2019,10,16,00:00,UTC,-1,-1,6.8,8.3,5
2019,10,17,00:00,UTC,3.6,-1,5.1,5.6,4.6
2019,10,18,00:00,UTC,3,-1,8,10.3,4.8
2019,10,19,00:00,UTC,2.9,-1,11.5,12.4,10.3
2019,10,20,00:00,UTC,13.3,-1,9.9,11.3,7.6
2019,10,21,00:00,UTC,0.2,-1,6.7,10.7,4.4
2019,10,22,00:00,UTC,0.1,-1,9.6,11.4,2.8
2019,10,23,00:00,UTC,-1,-1,10.1,11.9,8.1
2019,10,24,00:00,UTC,-1,-1,11.1,12.1,10.5
2019,10,25,00:00,UTC,0.6,-1,10.7,12.1,9.7
2019,10,26,00:00,UTC,13.2,-1,7.5,11.6,5.8
2019,10,27,00:00,UTC,9.7,-1,3.2,5.7,1.1
2019,10,28,00:00,UTC,0.8,-1,0.9,2.8,0.1
2019,10,29,00:00,UTC,-1,-1,-1,1.4,-3
2019,10,30,00:00,UTC,0.1,-1,-0.4,1.6,-3.4
2019,10,31,00:00,UTC,-1,,4.7,5.9,1.4
2019,11,1,00:00,UTC,0.1,-1,1.4,4.8,-0.4
2019,11,2,00:00,UTC,4.2,-1,5,6.5,-1.1
2019,11,3,00:00,UTC,-1,-1,3.3,5.3,1.1
2019,11,4,00:00,UTC,-1,-1,-0.5,2.6,-1.4
2019,11,5,00:00,UTC,-1,-1,-1.2,0.6,-2.4
2019,11,6,00:00,UTC,0.4,-1,-2.5,-0.6,-3.7
2019,11,7,00:00,UTC,0.8,-1,-1.5,1.3,-3.7
2019,11,8,00:00,UTC,1,2,1.7,5.2,-0.8
2019,11,9,00:00,UTC,4.7,-1,6.5,7.1,5.2
2019,11,10,00:00,UTC,7.8,-1,7.6,8.9,5.8
2019,11,11,00:00,UTC,-1,-1,0.6,8,-0.7
